sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,169.51405833834,não autorizada,2016,Itanhangá,Itanhangá,5104542
MT,301.41193099924,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,23.10167065732,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,4.5548789899,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,174.34703756821,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,52.31775230542,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,499.47276852209,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,149.8992929229,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,206.72512750206,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,55.91317391763,não autorizada,2016,Paranaíta,Paranaíta,5106299
MT,202.63373586082,não autorizada,2016,Novo Mundo,Novo Mundo,5106265
MT,23.47329563251,não autorizada,2016,Novo Mundo,Novo Mundo,5106265
MT,71.32211190423,não autorizada,2016,Tabaporã,Tabaporã,5107941
MT,61.86843226977,não autorizada,2016,Tabaporã,Tabaporã,5107941
MT,27.539963247,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,13.25339141032,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,46.67812390103,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,6.87485044856,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,18.68349311153,não autorizada,2016,Nova Canaã do Norte,Nova Canaã do Norte,5106216
MT,20.57133997976,não autorizada,2016,Nova Canaã do Norte,Nova Canaã do Norte,5106216
MT,53.26964764894,não autorizada,2016,Tabaporã,Tabaporã,5107941
MT,377.73069920676,não autorizada,2016,Nova Canaã do Norte,Nova Canaã do Norte,5106216
MT,377.03855684349,não autorizada,2016,Cláudia,Cláudia,5103056
MT,57.06974507141,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,224.01958502829,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,178.166525912,não autorizada,2016,Itanhangá,Itanhangá,5104542
MT,188.33851052864,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,174.14381766671,não autorizada,2016,Itanhangá,Itanhangá,5104542
MT,61.62476438758,não autorizada,2016,Itanhangá,Itanhangá,5104542
MT,98.39167528997,não autorizada,2016,Itanhangá,Itanhangá,5104542
MT,79.46508031299,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,121.51842389305,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,446.16352402269,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,125.02843499935,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
